any,cif,nom,quantia,tipus_subvencio
2022,G46173886,46035203,70088.98,A_escoles_no_formals
2022,G03156130,03016055,17099.45,A_escoles_no_formals
2022,G96409958,46020790,19644.26,A_escoles_no_formals
2022,G97028781,46024631,19998.09,A_escoles_no_formals
2022,G46172664,46022762,38818.58,A_escoles_no_formals
2022,G96701628,46026883,34153.85,A_escoles_no_formals
2022,G96343223,46020765,39151.3,A_escoles_no_formals
2022,R4600413A,46035653,10498.95,A_escoles_no_formals
2022,G42607853,03021427,5065.41,A_escoles_no_formals
2022,G46555561,46023781,7903.09,A_escoles_no_formals
2022,G46396990,46037170,19454.52,A_escoles_no_formals
2022,G96227194,46021538,28772.5,A_escoles_no_formals
2022,G03178431,03015737,22698.81,A_escoles_no_formals
2022,G96311667,46031210,14793.35,A_escoles_no_formals
2022,G46187498,46019635,8044.43,A_escoles_no_formals
2022,G46205621,46035999,16080.87,A_escoles_no_formals
2022,G53152864,03021348,14904.89,A_escoles_no_formals
2022,G53809687,03016501,29623.72,A_escoles_no_formals
2022,G40522013,46037273,29949.5,A_escoles_no_formals
2022,G46186201,46031969,14648.06,A_escoles_no_formals
2022,G46057659,46017377,59195.45,A_escoles_no_formals
2022,G46172656,46024655,11767.98,A_escoles_no_formals
2022,G46345054,46018643,20538.97,A_escoles_no_formals
2022,G54963681,03020915,30277.53,A_escoles_no_formals
2022,G96996277,46024643,8410.99,A_escoles_no_formals
2022,G46172763,46031039,27309.26,A_escoles_no_formals
2022,G98074578,46034934,55936.86,A_escoles_no_formals
2022,G46155404,46021186,68456.03,A_escoles_no_formals
2022,G46354767,46020625,14223.0,A_escoles_no_formals
2022,G46088613,46029495,16528.18,A_escoles_no_formals
2022,G96916382,46035835,25663.1,A_escoles_no_formals
2022,G96912720,46023791,36180.85,A_escoles_no_formals
2022,G96646625,46021976,13873.34,A_escoles_no_formals
2022,G46646576,46020637,20280.81,A_escoles_no_formals
2022,G97289672,46035501,110787.95,A_escoles_no_formals
2022,G96318274,46021058,24538.01,A_escoles_no_formals
2022,V46065298,46026238,72098.21,A_escoles_no_formals
2022,G46172151,46035151,34277.45,A_escoles_no_formals
2022,G12033965,12008302,7119.62,A_escoles_no_formals
2022,G03185881,03018258,23525.54,A_escoles_no_formals
2022,G53221701,03014991,14848.64,A_escoles_no_formals
2022,G97947725,46028168,32093.54,A_escoles_no_formals
2022,G96366158,46021253,17779.5,A_escoles_no_formals
2022,G96329081,46020650,16810.15,A_escoles_no_formals
2022,G96365994,46020649,18175.74,A_escoles_no_formals
2022,G53300935,03015002,81547.43,A_escoles_no_formals
2022,G53300935,03014290,15941.4,A_escoles_no_formals
2022,G46172714,46022087,44093.31,A_escoles_no_formals
2022,G03228111,03021351,10098.14,A_escoles_no_formals
2022,G96357876,46021071,22856.24,A_escoles_no_formals
2022,G46173142,46021204,11521.89,A_escoles_no_formals
2022,G03156460,03013856,41253.47,A_escoles_no_formals
2022,G53277547,03015415,7864.2,A_escoles_no_formals
2022,G03130614,03014046,29388.63,A_escoles_no_formals
2022,G12036513,12005027,47143.94,A_escoles_no_formals
2022,G96550264,46021034,42324.18,A_escoles_no_formals
2022,G98461502,46022038,26190.97,A_escoles_no_formals
2022,G97377980,46029461,14202.42,A_escoles_no_formals
2022,G98295637,46036189,10612.57,A_escoles_no_formals
2022,G12914065,12008223,69691.64,A_escoles_no_formals
2022,G12039145,12007802,38366.44,A_escoles_no_formals
2022,G53391090,03015427,18566.71,A_escoles_no_formals
2022,G54161427,03017904,29524.96,A_escoles_no_formals
2022,G96164579,46020844,16187.79,A_escoles_no_formals
2022,G96767595,46023808,78823.03,A_escoles_no_formals
2022,G03144029,03019639,20692.47,A_escoles_no_formals
2022,G03726627,03020691,16712.96,A_escoles_no_formals
2022,G12301339,12005714,26317.62,A_escoles_no_formals
2022,G96164579,46025337,110898.94,A_escoles_no_formals
2022,G46191292,46021277,49048.87,A_escoles_no_formals
2022,G96892815,46025349,6782.51,A_escoles_no_formals
2022,G96499330,46021721,9026.9,A_escoles_no_formals
2022,G97947709,46031209,16932.26,A_escoles_no_formals
2022,V46065389,46031076,47968.46,A_escoles_no_formals
2022,G03188455,03014010,10481.85,A_escoles_no_formals
2022,G12321113,12005726,50701.33,A_escoles_no_formals
2022,G03551629,03015749,19325.72,A_escoles_no_formals
2022,G03185014,03018969,36936.84,A_escoles_no_formals
2022,G97342042,46026895,11001.36,A_escoles_no_formals
2022,G46173563,46020935,41991.0,A_escoles_no_formals
2022,G97712863,46030400,37368.44,A_escoles_no_formals
2022,G46177556,46019945,56045.56,A_escoles_no_formals
2022,G46270658,46036177,5876.63,A_escoles_no_formals
2022,G03101763,03014320,41028.16,A_escoles_no_formals
2022,G46170700,46020820,42030.72,A_escoles_no_formals
2022,G46173670,46031088,21153.97,A_escoles_no_formals
2022,G46173589,46031982,36160.79,A_escoles_no_formals
2022,G46171872,46036608,33268.61,A_escoles_no_formals
2022,G12918785,12008375,13438.13,A_escoles_no_formals
2022,G46120937,46031091,9631.16,A_escoles_no_formals
2022,G46672465,46020911,8751.24,A_escoles_no_formals
2022,V46162095,46019702,42917.96,A_escoles_no_formals
2022,G46186987,46020947,14971.95,A_escoles_no_formals
2022,G46350419,46021541,7164.0,A_escoles_no_formals
2022,G46173126,46019921,51841.88,A_escoles_no_formals
2022,G46915252,46030990,19221.05,A_escoles_no_formals
2022,G46353579,46029471,24722.04,A_escoles_no_formals
2022,G46188611,46029458,11370.14,A_escoles_no_formals
2022,G53302980,03013972,19145.49,A_escoles_no_formals
2022,G46172730,46028171,96280.89,A_escoles_no_formals
