any,nom,cif,quantia,tipus_subvencio
2024,MAESTRAT DEL ATZENETA D/ATZENETA CECILIA SANTA BANDA MUSICAL SOCIETAT,G12214565,22634.6,A_escoles_no_formals
2024,AYORA AYORENSE MUSICAL SOCIEDAD,G46175022,22879.52,A_escoles_no_formals
2024,MARIOLA BANYERES FERRE TINA NOVA MUSICAL AGRUPACION,G53209466,19911.29,A_escoles_no_formals
2024,BARX STA.CECILIA MUSICAL INSTRUCT. SOC. CECILIA SANTA UNIO SOCIETAT,G46352688,11905.33,A_escoles_no_formals
2024,BARXETA CECILIA SANTA MUSICAL UNION,G46185724,7884.93,A_escoles_no_formals
2024,BELLREGUARD CECILIA SANTA MUSICAL ARTISTICO AGRUPACION,G46172524,14741.6,A_escoles_no_formals
2024,BENAGUASIL ART CULTURAL MUSICAL ATENEU,G96420146,8647.94,A_escoles_no_formals
2024,BENAGUASIL MUSICAL UNIÓN UNION CULTURAL INSTRUCTIVO CENTRO,G46084679,29715.75,A_escoles_no_formals
2024,BENASAL BMFES CELADES ABSALOM SEGURES FUENTE BANDA,V12292652,10341.51,A_escoles_no_formals
2024,BENETUSSER BENETÚSSER MUSICAL UNIÓ BENETUS UNIO CULTURAL ARTISTICA SOCIEDAD,G46202396,12363.73,A_escoles_no_formals
2024,BENIARBEIG MUSICAL UNIO,G03181278,4942.24,A_escoles_no_formals
2024,BENIARJO MARCH AUSIÀS MUSICAL ART. AGRUP. AUSIAS ARTISTICO-MUSICAL AGRUPACIO,G46703039,21192.39,A_escoles_no_formals
2024,BENICARLO BENICARLÓ CIUDAD MUSICAL ASOCIACION,G12036240,43524.03,A_escoles_no_formals
2024,BENICASSIM CECILIA SANTA BENICASIM MUSICAL UNION,G12099891,63480.91,A_escoles_no_formals
2024,XÚQUER BENICULL MUSICAL UNION,G46787024,9137.18,A_escoles_no_formals
2024,BENIDOLEIG SEGUILI MUSICAL AGRUPACIO,G53848313,7911.27,A_escoles_no_formals
2024,BENIDORM MUSICAL UNIÓN UNION,G03084977,43288.67,A_escoles_no_formals
2024,BENIDORM L'ILLA MUSICAL SOCIETAT,G53217980,9803.01,A_escoles_no_formals
2024,BENIDORM NOVA MUSICAL SOCIETAT,G54388285,52469.13,A_escoles_no_formals
2024,BENIFAIO BENIFAIÓ SAM MUSICAL ARTISTICO SOCIETAT,G46065678,27735.9,A_escoles_no_formals
2024,BENIFAIO LLOPIS MARTÍNEZ PASCUAL AMICS ASOCIACIO,G98523418,23898.79,A_escoles_no_formals
2024,VALLDIGNA BENIFAIRO RAFAELA- -PEPE SERRA JOSÉ L'ENTUSIASTA MUSICAL SOCIETAT,G46171849,19915.98,A_escoles_no_formals
2024,BENIGANIM TROPICAL MUSICAL SOCIETAT,G46172896,13266.94,A_escoles_no_formals
2024,BENIMODO MUSICAL UNIÓ UNIO SOCIETAT,G46152450,20112.7,A_escoles_no_formals
2024,BENIPARRELL MUSICAL INSTRUCTIVO CENTRO,G46394128,20976.97,A_escoles_no_formals
2024,BENIRREDRA BENIRREDRÀ MUSICAL SOCIETAT,G96589031,32784.17,A_escoles_no_formals
2024,BETERA MUSICAL ARTÍSTIC CENTRE ARTISTIC,G46173118,82455.6,A_escoles_no_formals
2024,BETXI MUSICAL UNIÓN UNION,G12231551,18455.72,A_escoles_no_formals
2024,BIAR MUSICAL SOCIETAT UNIO,G03157294,20063.63,A_escoles_no_formals
2024,BIGASTRO MUSICAL UNIÓN UNION,G03436367,38278.14,A_escoles_no_formals
2024,BOCAIRENT MUSICAL UNIÓ ASSOCIACIÓ,G97128045,37824.76,A_escoles_no_formals
2024,MIRAMBELL BONREPOS TRADICIONAL TABALS DOLÇAINES BRAMA,G96680772,8614.95,A_escoles_no_formals
2024,MIRAMBELL BONREPOS MUSICAL SOCIETAT,G46996443,54057.86,A_escoles_no_formals
2024,BORRIOL SALA RAMÓN BORRIOLENCA LIRA MUSICAL UNIO,G12452090,24890.04,A_escoles_no_formals
2024,BUGARRA MUSICAL C.INST.UNIÓN UNION INSTRUCTIVO CENTRO,G46172391,6170.35,A_escoles_no_formals
2024,BUÑOL GARCÍA CARRASCOSA MANUEL GARCIA,G96935507,45573.99,A_escoles_no_formals
2024,BUÑOL AYLLON LUIS ARTISTICA MUSICAL SOCIEDAD,G46057725,51070.11,A_escoles_no_formals
2024,BURJASSOT SILOS LOS MUSICAL AGRUPACION,G46102497,44844.3,A_escoles_no_formals
2024,BUSOT CANELOBRE CANELOBRE-UMB,G03769791,11292.21,A_escoles_no_formals
2024,CALIG VILA MUSICAL AGRUPACION,G12419362,10804.89,A_escoles_no_formals
2024,SEGURA CALLOSA FILARMÓNICA MUS. ARTE MUS.DE FILARMONICA MUSICAL,G03106903,15812.17,A_escoles_no_formals
2024,SARRIA D'EN CALLOSA SEGUÍ JOSÉ SEGUI JOSE,G03957214,59479.71,A_escoles_no_formals
2024,"MIRRA, CAMP MIRRA BENEIXAMA-CAMP BENEIXAMA",G13671847,27460.85,A_escoles_no_formals
2024,CAMPORROBLES MAR-CHICA MUSICAL UNIÓN UNION,G46191391,11098.74,A_escoles_no_formals
2024,CANALS CANALENSE MUSICAL ASOCIACIÓN ASOCIACION,G46121174,23458.0,A_escoles_no_formals
